Date,Cone ID,Observer,Treatment,Soil,Health,Species,Leaf Number,Height (cm),Notes
120817,ME001,JTH,Sterile,DEAD,1,BB,8,3.5,"5 tiny br., almost dead, leaves falling off"
120817,ME002,JTH,Sterile,DEAD,0,BB,0,0,"no plant, spores"
120817,ME003,JTH,Sterile,DEAD,1,BB,2,1.4,thick moss
120817,ME004,JTH,Sterile,DEAD,1,BB,29,4.9,"3 br., moss sporophytes"
120817,ME005,JTH,Sterile,DEAD,1,BB,59,7.4,"4 br., thin moss"
120817,ME006,JTH,Sterile,DEAD,1,BB,76,10.3,"5 br.,thin moss, some black"
120817,ME007,JTH,Sterile,DEAD,1,BB,30,5.4,"3 br., thick moss"
120817,ME008,JTH,Sterile,DEAD,1,BB,4,0.7,"thick moss, spores"
120817,ME009,JTH,Sterile,DEAD,1,BB,40,6,"3 br., thick moss"
120817,ME010,JTH,Sterile,DEAD,1,BB,6,1.4,lots of spores
120817,ME011,JTH,Sterile,DEAD,1,BB,23,6,"2 br., one dead"
120817,ME012,JTH,Sterile,DEAD,1,BB,4,1.5,"thick, sporing moss"
120817,ME085,JTH,Sterile,DEAD,1,LB,62,3.2,"8 small br., black moss (liverwort?)"
120817,ME086,JTH,Sterile,DEAD,1,LB,102,6,"11 br., black moss"
120817,ME087,JTH,Sterile,DEAD,1,LB,41,7.7,"3 br., grainy black soil, no moss"
120817,ME088,JTH,Sterile,DEAD,1,LB,64,12,"5 br., losing leaves"
120817,ME089,JTH,Sterile,DEAD,1,LB,10,2,"2br., super thick moss"
120817,ME090,JTH,Sterile,DEAD,1,LB,4,0.7,spores
120817,ME091,JTH,Sterile,DEAD,1,LB,4,1.7,moss sporophytes
120817,ME092,JTH,Sterile,DEAD,1,LB,28,3.7,"5 small br., moss, some spores"
120817,ME093,JTH,Sterile,DEAD,1,LB,40,3.2,"5 br., (3 more sprouts), thick moss, some spores"
120817,ME094,JTH,Sterile,DEAD,1,LB,39,3.1,"4 br., thick moss"
120817,ME095,JTH,Sterile,DEAD,1,LB,11,1.7,"thick moss, spores"
120817,ME096,JTH,Sterile,DEAD,1,LB,5,1.3,black moss
1162018,ME001,JTH,Sterile,DEAD,1,BB,15,NA,
1162018,ME002,JTH,Sterile,DEAD,0,BB,0,NA,no plnt
1162018,ME003,JTH,Sterile,DEAD,1,BB,2,NA,
1162018,ME004,JTH,Sterile,DEAD,1,BB,34,NA,
1162018,ME005,JTH,Sterile,DEAD,1,BB,59,NA,
1162018,ME006,JTH,Sterile,DEAD,1,BB,77,NA,
1162018,ME007,JTH,Sterile,DEAD,1,BB,46,NA,
1162018,ME008,JTH,Sterile,DEAD,1,BB,5,NA,
1162018,ME009,JTH,Sterile,DEAD,1,BB,46,NA,
1162018,ME010,JTH,Sterile,DEAD,1,BB,5,NA,
1162018,ME011,JTH,Sterile,DEAD,1,BB,20,NA,
1162018,ME012,JTH,Sterile,DEAD,1,BB,3,NA,
1162018,ME085,JTH,Sterile,DEAD,1,LB,53,NA,
1162018,ME086,JTH,Sterile,DEAD,1,LB,106,NA,
1162018,ME087,JTH,Sterile,DEAD,1,LB,43,NA,
1162018,ME088,JTH,Sterile,DEAD,1,LB,84,NA,
1162018,ME089,JTH,Sterile,DEAD,1,LB,6,NA,
1162018,ME090,JTH,Sterile,DEAD,1,LB,8,NA,
1162018,ME091,JTH,Sterile,DEAD,1,LB,4,NA,
1162018,ME092,JTH,Sterile,DEAD,1,LB,23,NA,
1162018,ME093,JTH,Sterile,DEAD,1,LB,36,NA,
1162018,ME094,JTH,Sterile,DEAD,1,LB,37,NA,
1162018,ME095,JTH,Sterile,DEAD,1,LB,15,NA,
1162018,ME096,JTH,Sterile,DEAD,1,LB,6,NA,
1142017,ME013,MME,MD,ALIVE,1,BB,6,1.7,m
1142017,ME014,MME,MD,ALIVE,1,BB,5,1.5,m
1142017,ME015,MME,MD,ALIVE,1,BB,6,1,"m, 2"
1142017,ME016,MME,MD,ALIVE,1,BB,7,2.1,moss
1142017,ME017,MME,MD,ALIVE,1,BB,5,1.6,moss
1142017,ME018,MME,MD,ALIVE,1,BB,5,1.4,moss
1142017,ME019,MME,MD,ALIVE,1,BB,3,1,moss
1142017,ME020,MME,MD,ALIVE,0,BB,0,0,moss
1142017,ME021,MME,MD,ALIVE,1,BB,4,1,moss
1142017,ME022,MME,MD,ALIVE,1,BB,4,1.1,moss
1142017,ME023,MME,MD,ALIVE,1,BB,4,1.1,moss
1142017,ME024,MME,MD,ALIVE,1,BB,5,1.6,moss
1142017,ME074,MME,MD,ALIVE,1,LB,2,0.6,moss
1142017,ME075,MME,MD,ALIVE,1,LB,2,0.9,moss
1142017,ME076,MME,MD,ALIVE,1,LB,4,1.2,moss
1142017,ME077,MME,MD,ALIVE,1,LB,3,0.9,moss
1142017,ME078,MME,MD,ALIVE,1,LB,2,0.4,moss
1142017,ME079,MME,MD,ALIVE,1,LB,3,1.2,moss
1142017,ME080,MME,MD,ALIVE,0,LB,0,0,no plant/moss
1142017,ME081,MME,MD,ALIVE,1,LB,4,1.1,moss
1142017,ME082,MME,MD,ALIVE,1,LB,2,0.9,moss
1142017,ME083,MME,MD,ALIVE,1,LB,4,1,moss
1142017,ME084,MME,MD,ALIVE,1,LB,5,1.2,moss
1142017,ME085,MME,MD,ALIVE,1,LB,7,3.1,moss
1272017,ME013,JRF,MD,ALIVE,1,BB,6,1.7,moss
1272017,ME014,JRF,MD,ALIVE,1,BB,5,1.8,moss
1272017,ME015,JRF,MD,ALIVE,1,BB,5,0.6,moss
1272017,ME016,JRF,MD,ALIVE,1,BB,7,1.7,moss
1272017,ME017,JRF,MD,ALIVE,1,BB,6,1.6,moss
1272017,ME018,JRF,MD,ALIVE,1,BB,5,1.6,moss
1272017,ME019,JRF,MD,ALIVE,1,BB,4,1,moss
1272017,ME020,JRF,MD,ALIVE,0,BB,0,0,moss
1272017,ME021,JRF,MD,ALIVE,1,BB,4,0.8,moss
1272017,ME022,JRF,MD,ALIVE,1,BB,4,1.2,moss
1272017,ME023,JRF,MD,ALIVE,1,BB,5,1.1,moss
1272017,ME024,JRF,MD,ALIVE,1,BB,5,1.2,moss
1272017,ME075,JRF,MD,ALIVE,1,LB,2,0.5,moss
1272017,ME076,JRF,MD,ALIVE,1,LB,4,1.1,moss
1272017,ME077,JRF,MD,ALIVE,1,LB,3,0.4,"plucked, moss"
1272017,ME078,JRF,MD,ALIVE,1,LB,2,0.4,moss
1272017,ME079,JRF,MD,ALIVE,1,LB,3,1,moss
1272017,ME080,JRF,MD,ALIVE,0,LB,0,0,moss
1272017,ME081,JRF,MD,ALIVE,1,LB,5,0.8,moss
1272017,ME082,JRF,MD,ALIVE,1,LB,2,0.6,moss
1272017,ME083,JRF,MD,ALIVE,1,LB,4,1,moss
1272017,ME084,JRF,MD,ALIVE,1,LB,5,1.1,moss
1272017,ME085,JRF,MD,ALIVE,1,LB,12,2.6,
1272017,ME086,JRF,MD,ALIVE,1,LB,14,3,bent over
2102017,ME013,JRF,MD,ALIVE,1,BB,6,1.8,moss
2102017,ME014,JRF,MD,ALIVE,1,BB,5,1.8,moss
2102017,ME015,JRF,MD,ALIVE,1,BB,4,0.7,"moss, 2 branches"
2102017,ME016,JRF,MD,ALIVE,1,BB,7,2,moss
2102017,ME017,JRF,MD,ALIVE,1,BB,5,1.5,moss
2102017,ME018,JRF,MD,ALIVE,1,BB,5,1.6,moss
2102017,ME019,JRF,MD,ALIVE,1,BB,4,0.8,"moss, looks unhealthy"
2102017,ME020,JRF,MD,ALIVE,0,BB,0,0,"no plant, moss"
2102017,ME021,JRF,MD,ALIVE,1,BB,4,0.9,moss
2102017,ME022,JRF,MD,ALIVE,1,BB,4,1.1,moss
2102017,ME023,JRF,MD,ALIVE,1,BB,5,1.1,moss
2102017,ME024,JRF,MD,ALIVE,1,BB,5,1.6,moss
2102017,ME073,JRF,MD,ALIVE,1,LB,2,0.4,moss
2102017,ME074,JRF,MD,ALIVE,1,LB,2,0.4,moss
2102017,ME075,JRF,MD,ALIVE,1,LB,2,0.6,moss
2102017,ME076,JRF,MD,ALIVE,1,LB,4,1.1,moss
2102017,ME077,JRF,MD,ALIVE,1,LB,3,0.6,moss
2102017,ME078,JRF,MD,ALIVE,1,LB,2,0.6,moss
2102017,ME079,JRF,MD,ALIVE,1,LB,3,1,moss
2102017,ME080,JRF,MD,ALIVE,0,LB,0,0,"no plant, moss, liverwort"
2102017,ME081,JRF,MD,ALIVE,1,LB,4,0.9,moss
2102017,ME082,JRF,MD,ALIVE,1,LB,2,0.5,moss
2102017,ME083,JRF,MD,ALIVE,1,LB,6,1.3,moss
2102017,ME084,JRF,MD,ALIVE,1,LB,5,1.1,moss
2242017,ME013,JRF,MD,ALIVE,1,BB,5,1.4,
2242017,ME014,JRF,MD,ALIVE,1,BB,3,1.6,
2242017,ME015,JRF,MD,ALIVE,1,BB,4,1,
2242017,ME016,JRF,MD,ALIVE,1,BB,7,2,
2242017,ME017,JRF,MD,ALIVE,1,BB,6,1.4,
2242017,ME018,JRF,MD,ALIVE,1,BB,5,1.5,
2242017,ME019,JRF,MD,ALIVE,1,BB,3,1,
2242017,ME020,JRF,MD,ALIVE,0,BB,0,0,
2242017,ME021,JRF,MD,ALIVE,1,BB,4,0.8,
2242017,ME022,JRF,MD,ALIVE,1,BB,4,1,
2242017,ME023,JRF,MD,ALIVE,1,BB,5,1.1,
2242017,ME024,JRF,MD,ALIVE,1,BB,4,1.3,
2242017,ME073,JRF,MD,ALIVE,1,LB,2,0.5,
2242017,ME074,JRF,MD,ALIVE,1,LB,2,0.4,
2242017,ME075,JRF,MD,ALIVE,1,LB,2,0.4,
2242017,ME076,JRF,MD,ALIVE,1,LB,4,1.3,
2242017,ME077,JRF,MD,ALIVE,1,LB,3,0.6,
2242017,ME078,JRF,MD,ALIVE,1,LB,2,0.5,
2242017,ME079,JRF,MD,ALIVE,1,LB,3,0.8,
2242017,ME080,JRF,MD,ALIVE,0,LB,0,0,
2242017,ME081,JRF,MD,ALIVE,1,LB,4,0.6,
2242017,ME082,JRF,MD,ALIVE,1,LB,2,0.6,
2242017,ME083,JRF,MD,ALIVE,1,LB,10,1.5,
2242017,ME084,JRF,MD,ALIVE,1,LB,5,1.1,
3102017,ME013,JRF,MD,ALIVE,1,BB,4,1.4,moss
3102017,ME014,JRF,MD,ALIVE,1,BB,2,1.6,moss
3102017,ME015,JRF,MD,ALIVE,1,BB,6,0.9,"moss, 2 branches"
3102017,ME016,JRF,MD,ALIVE,1,BB,8,2,moss
3102017,ME017,JRF,MD,ALIVE,1,BB,8,1.5,moss
3102017,ME018,JRF,MD,ALIVE,1,BB,5,1.3,moss
3102017,ME019,JRF,MD,ALIVE,1,BB,4,0.6,moss
3102017,ME020,JRF,MD,ALIVE,1,BB,2,0.2,"moss, possibly not a germinated target plant"
3102017,ME021,JRF,MD,ALIVE,1,BB,4,0.9,moss
3102017,ME022,JRF,MD,ALIVE,1,BB,4,1.3,moss
3102017,ME023,JRF,MD,ALIVE,1,BB,5,1,moss
3102017,ME024,JRF,MD,ALIVE,1,BB,5,1,moss
3102017,ME073,JRF,MD,ALIVE,1,LB,2,0.5,moss
3102017,ME074,JRF,MD,ALIVE,1,LB,2,0.5,moss
3102017,ME075,JRF,MD,ALIVE,1,LB,2,0.5,moss
3102017,ME076,JRF,MD,ALIVE,1,LB,5,1.2,moss
3102017,ME077,JRF,MD,ALIVE,1,LB,3,0.6,moss
3102017,ME078,JRF,MD,ALIVE,1,LB,2,0.6,moss
3102017,ME079,JRF,MD,ALIVE,1,LB,3,1,moss
3102017,ME080,JRF,MD,ALIVE,0,LB,0,0,"no plant, moss"
3102017,ME081,JRF,MD,ALIVE,1,LB,4,0.8,moss
3102017,ME082,JRF,MD,ALIVE,1,LB,2,0.5,moss
3102017,ME083,JRF,MD,ALIVE,1,LB,10,1.8,moss
3102017,ME084,JRF,MD,ALIVE,1,LB,5,1.1,moss
4072017,ME013,JRF,MD,ALIVE,1,BB,4,1.5,moss
